Language	Instruction Group	Instruction	variables
Yoruba	Length Constraints	K? àròk? tí kò dín ní <num_words> ?y? ??r?? lórí ?rí-??r??   <topic>. Èdè Yorùbá ni kí o fi dáhùn gbogbo ibéèrè kí o sì lo àk?t?? òde òní àti èdé-Íperí Yorùbá. Ríí dájú pé a k? àk?sil? r? ní àw?n aayá <num_paragraphs>.	"num_words, topic, num_words"
English	Language	"Give me detailed instructions on how to make pizza, I want you to make it as detailed as possible including all the ingredients and step by step instructions on how to go about it.  Your ENTIRE response should be in <language>,  no other language is allowed."	language
Nigerian Pidgin			
Igbo	Language	Ach?r? m ka ? degara onyeisi m ozi ?ntanet? na-agwa ya na agagh? m enwe ike ime ka ? r?? ?r? n'izu a n'ihi na obi ad?gh? nwa m nwany? mma. Gbaa mb? h? na edere email ah? n'as?s? Igbo ma nwee n'?t?t? okwu <num_words>	num_words
Hausa	Detectable Format	Na so ka rubuta talifi game da ciwon kansa da kuma hanyoyin k?re shi da fiye da kalmomi <num_words>. Ka tabbata cewa amsarka tana ?auke da abubuwa masu muhimmanci da kuma hanyar da za ka bi. Kuma dole ne a yi la'ane su a cikin nau'i-nau'i na nau'i-nau'i na nau'in <header>	num_words
Swahili	Length Constraints	"Fikiria tatizo la biashara ndogo sana (chini ya wafanyakazi watano) kujaribu kutengeneza bidhaa mpya.  nnJe, wanapaswa kuwa na Meneja wa Bidhaa maalum?  nNi njia gani nyingine ambazo ungependekeza wachukue ili kuhakikisha kuwa majukumu muhimu zaidi ya Meneja wa Bidhaa yanafanywa?  nJinsi ya kufikia jukumu la meneja wa bidhaa? n(chini ya sentensi <num_sentences>)"	num_sentences
Afrikaans	"Multiple Sections, Language"	"gee oorsig en implementeringsplan vir 'n mikrodienstestelsel vir die koop van treinkaartjies met behulp van Python Flask en MongoDB. Jou hele antwoord moet in Afrikaans wees en moet ten minste <num_sections> afdelings bevat. merk die begin van elke afdeling met ""***"""	num_sections
Yoruba	Two Responses	Ìbéèrè àti ìdáhùn nípa ìlera gbogbo ènìyàn. Fún wa ní ìdáhùn méjì ??t????t??. Aw?n idahun ati aw?n idahun nikan y? ki o ya s?t? nipas? aw?n aami asterisk: *****	
Igbo	Repeat Prompt	"Aha nd? na-at? ?t? maka mgbasa ozi mmek?r?ta. Nke mb?, meghar?a ar?r?? ah? n'enwegh? mgbanwe, wee nye az?za g? (ekwula ihe ? b?la tupu ?meghachi ar?r?? ah?; ar?r?? ?ch?r? ?meghachi anagh? ag?nye ah?r?okwu a)"	
Somali		"If A = OK, give me 5 good formulas. Show at least {N} sections in your response with a marker, i.e., *highlighted section*"	
